date[dTt] r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2012-07-11T11:53:18 1.01660e+00 1.50079e+00 3.16479e-05 9.07202e+00 5.41247e-12 4.07285e+02 -1.22778e-01 -1.20257e+01 2.31283e+00 1.03349e-02 -2.35555e+00 
2012-07-11T12:03:18 1.01660e+00 1.50077e+00 3.16480e-05 8.96887e+00 5.36048e-12 4.08185e+02 -8.27455e-03 -1.22824e+01 2.30828e+00 1.02807e-02 -2.34679e+00 
2012-07-11T12:13:18 1.01660e+00 1.50076e+00 3.16422e-05 8.86465e+00 5.30593e-12 4.09082e+02 1.00523e-01 -1.25333e+01 2.30340e+00 1.00570e-02 -2.33798e+00 
2012-07-11T12:23:18 1.01659e+00 1.50075e+00 3.16364e-05 8.75955e+00 5.24845e-12 4.09974e+02 2.03459e-01 -1.27779e+01 2.29815e+00 9.42913e-03 -2.32914e+00 
2012-07-11T12:33:18 1.01659e+00 1.50074e+00 3.16307e-05 8.65379e+00 5.18813e-12 4.10862e+02 3.00745e-01 -1.30154e+01 2.29247e+00 8.26292e-03 -2.32022e+00 
2012-07-11T12:43:18 1.01659e+00 1.50073e+00 3.16249e-05 8.54765e+00 5.12538e-12 4.11745e+02 3.92800e-01 -1.32447e+01 2.28626e+00 6.79305e-03 -2.31112e+00 
2012-07-11T12:53:18 1.01659e+00 1.50071e+00 3.16191e-05 8.44140e+00 5.06072e-12 4.12623e+02 4.80141e-01 -1.34649e+01 2.27945e+00 5.34160e-03 -2.30172e+00 
2012-07-11T13:03:18 1.01659e+00 1.50070e+00 3.16134e-05 8.33531e+00 4.99461e-12 4.13496e+02 5.63267e-01 -1.36745e+01 2.27199e+00 4.11591e-03 -2.29190e+00 
2012-07-11T13:13:18 1.01659e+00 1.50069e+00 3.16076e-05 8.22955e+00 4.92771e-12 4.14362e+02 6.42655e-01 -1.38727e+01 2.26382e+00 3.17617e-03 -2.28144e+00 
2012-07-11T13:23:18 1.01659e+00 1.50068e+00 3.16018e-05 8.12427e+00 4.86021e-12 4.15223e+02 7.18730e-01 -1.40586e+01 2.25490e+00 2.49503e-03 -2.26989e+00 
